n =  11
metname = mas
   lambda      dist         t      iter         res
   3.4600    0.0610    0.1280       100  3.3259e-02
   3.4610    0.0611    0.1055       100  3.3286e-02
   3.4620    0.0613    0.1057       100  3.3313e-02
   3.4630    0.0614    0.1057       100  3.3341e-02
   3.4640    0.0615    0.1047       100  3.3368e-02
   3.4650    0.0617    0.1072       100  3.3395e-02
   3.4660    0.0618    0.1068       100  3.3422e-02
   3.4670    0.0619    0.1078       100  3.3450e-02
   3.4680    0.0621    0.1082       100  3.3477e-02
   3.4690    0.0622    0.1074       100  3.3504e-02
   3.4700    0.0624    0.1058       100  3.3531e-02

metname = newton
   lambda      dist         t      iter         res
   3.4600    0.0097    0.0672         5  4.5165e-09
   3.4610    0.0060    0.0573         6  3.8025e-15
   3.4620    0.0022    0.0577         6  6.6752e-15
   3.4630    0.0017    0.0564         6  1.1657e-14
   3.4640    0.0057    0.0577         6  2.0997e-14
   3.4650    0.0097    0.0587         6  3.7345e-14
   3.4660    0.0139    0.0594         6  6.8015e-14
   3.4670    0.0182    0.0620         6  1.2464e-13
   3.4680    0.0226    0.0597         6  2.3283e-13
   3.4690    0.0271    0.0588         6  4.4117e-13
   3.4700    0.0318    0.0574         6  8.4975e-13

metname = newtonmod
   lambda      dist         t      iter         res
   3.4600    0.0097    0.0863        48  5.0604e-09
   3.4610    0.0060    0.0744        49  4.9777e-09
   3.4620    0.0022    0.0741        50  4.9746e-09
   3.4630    0.0017    0.0758        51  5.0537e-09
   3.4640    0.0057    0.0765        53  4.0332e-09
   3.4650    0.0097    0.0775        54  4.2692e-09
   3.4660    0.0139    0.0774        55  4.6033e-09
   3.4670    0.0182    0.0790        56  5.0599e-09
   3.4680    0.0226    0.0780        58  4.5022e-09
   3.4690    0.0271    0.0802        60  4.1500e-09
   3.4700    0.0318    0.0792        61  4.9322e-09

metname = newtonaprox
   lambda      dist         t      iter         res
   3.4600    0.0097    0.0953        14  2.9346e-09
   3.4610    0.0060    0.0849        14  4.1022e-09
   3.4620    0.0022    0.0852        15  2.3163e-09
   3.4630    0.0017    0.0858        15  3.4481e-09
   3.4640    0.0057    0.0885        16  2.2332e-09
   3.4650    0.0097    0.0902        16  3.5892e-09
   3.4660    0.0139    0.0912        17  2.7302e-09
   3.4670    0.0182    0.0933        17  4.8272e-09
   3.4680    0.0226    0.0930        18  4.4522e-09
   3.4690    0.0271    0.0964        19  4.7060e-09
   3.4700    0.0318    0.0998        21  3.2338e-09


n =  301
metname = mas
   lambda      dist         t      iter         res
   3.4600    0.0001    2.1739       100  7.5402e-05
   3.4610    0.0001    2.1594       100  7.5424e-05
   3.4620    0.0001    2.1781       100  7.5446e-05
   3.4630    0.0001    2.1262       100  7.5469e-05
   3.4640    0.0001    2.1508       100  7.5491e-05
   3.4650    0.0001    2.1082       100  7.5514e-05
   3.4660    0.0001    2.1403       100  7.5536e-05
   3.4670    0.0001    2.1557       100  7.5559e-05
   3.4680    0.0001    2.1645       100  7.5581e-05
   3.4690    0.0001    2.1755       100  7.5604e-05
   3.4700    0.0001    2.2290       100  7.5626e-05

metname = newton
   lambda      dist         t      iter         res
   3.4600    0.0168    0.2367         5  1.9761e-12
   3.4610    0.0134    0.2222         5  2.4942e-12
   3.4620    0.0099    0.2446         5  3.1577e-12
   3.4630    0.0064    0.2392         5  4.0113e-12
   3.4640    0.0027    0.2360         5  5.1144e-12
   3.4650    0.0010    0.2367         5  6.5450e-12
   3.4660    0.0047    0.4364         6  2.7383e-16
   3.4670    0.0086    0.3439         6  3.7013e-16
   3.4680    0.0125    0.2562         6  3.2979e-16
   3.4690    0.0166    0.2706         6  3.3617e-16
   3.4700    0.0207    0.2620         6  4.2021e-16

metname = newtonmod
   lambda      dist         t      iter         res
   3.4600    0.0168    1.0108        44  7.1192e-12
   3.4610    0.0134    1.2775        45  6.5880e-12
   3.4620    0.0099    1.0618        46  6.1821e-12
   3.4630    0.0064    1.0366        47  5.8852e-12
   3.4640    0.0027    1.0395        47  7.5467e-12
   3.4650    0.0010    1.0779        48  7.3584e-12
   3.4660    0.0047    1.0869        49  7.2875e-12
   3.4670    0.0086    1.1002        50  7.3337e-12
   3.4680    0.0125    1.1442        51  7.5043e-12
   3.4690    0.0166    1.1864        53  6.0705e-12
   3.4700    0.0207    1.1830        54  6.4765e-12

metname = newtonaprox
   lambda      dist         t      iter         res
   3.4600    0.0168    0.6974         6  1.4050e-13
   3.4610    0.0134    0.6844         6  1.6672e-13
   3.4620    0.0099    0.6682         6  1.9741e-13
   3.4630    0.0064    0.6826         6  2.3377e-13
   3.4640    0.0027    0.7217         6  2.7679e-13
   3.4650    0.0010    0.7315         6  3.2751e-13
   3.4660    0.0047    0.6855         6  3.8755e-13
   3.4670    0.0086    0.7022         6  4.5848e-13
   3.4680    0.0125    0.6978         6  5.4228e-13
   3.4690    0.0166    0.7075         6  6.4108e-13
   3.4700    0.0207    0.7271         6  7.5730e-13


